기준시간,원본시간,제목,미리보기
1일 전,22시간 전,시바이누(SHIB) 소각률 99% 급감… 가격 회복에 악재 될까?,"16일(현지시간) 암호화폐 전문매체 뉴스BTC에 따르면, SHIB의 소각률이 하루 만에 99.44% 급감했다. 이는 지난 24시간 동안 단 281만 1,819 SHIB만이 소각 주소로 이동했음을 의미하며, 이전 24시간 동안 소각된 5억 개 이상의 SHIB에 비해 현저히 낮은 수준이다. 시바이누는 공급량 감소를 통한 가치 상승을..."
1일 전,22시간 전,"비트코인, FOMC 앞두고 반등…매크로 불확실성 해소될까?","비트코인(BTC)이 최근 76,000달러 저점에서 84,000달러까지 반등하며 시장의 투자 심리를 회복시키고 있다. 오는 19일(현지시간) 미국... 글로벌 금융 서비스 기업 캔터 피츠제럴드(Cantor Fitzgerald)는 20억 달러 규모의 비트코인 금융 사업을 시작했으며, 아크 인베스트(Ark Invest)는 코인베이스를 통해 997 ..."
1일 전,1일 전,XRP ETF 승인되면 비트코인과 경쟁 구도 바뀔까?,"암호화폐 전문 변호사 제레미 호건(Jeremy Hogan)이 XRP 커뮤니티에 비트코인(BTC) 투자자들에게 우호적인 태도를 유지할 것을 당부했다. 그는 BTC와 XRP의 근본적인 차이를 강조하며, XRP의 ETF 승인 가능성이 시장 판도를 바꿀 수 있다고 전망했다. 16일(현지시간) 암호화폐 전문매체 코인게이프에..."
1일 전,23시간 전,"카르다노, 상승장 진입 vs 추가 하락… ADA 가격 향방은?","16일(현지시간) 암호화폐 전문매체 뉴스BTC에 따르면, 카르다노는 0.74달러 수준에서 거래되며 주요 지지선을 방어하고 있다. 그러나 시장의 높은 변동성과 투자자들의 불확실성이 지속되면서 강한 매도 압력이 이어지고 있다. 기술적 분석에 따르면, 카르다노는 수개월 동안 형성된 상승 삼각형 패턴을..."
1일 전,23시간 전,비트코인 10만 달러 재돌파 가능할까? 차트가 가리키는 다음 목표,"비트코인(BTC)이 다시 10만 달러를 돌파할 가능성이 제기되면서 시장의 관심이 집중되고 있다. 기술적 분석에 따르면 반등 신호가 명확하게 포착되고 있으며, 일부 전문가들은 연말까지 12만 5,000달러까지 상승할 가능성을 전망하고 있다. 16일(현지시간) 암호화폐 전문매체 뉴스에 따르면..."
1일 전,23시간 전,"이더리움, 2,050달러 회복해야 반등 가능…추가 하락 경고","16일(현지시간) 암호화폐 전문매체 뉴스BTC에 따르면, 이더리움은 1,900달러선에서 지지를 받으며 2,000달러 재돌파를 시도하고 있지만, 강한 매도세에 부딪히고 있다. 현재 시장은 높은 변동성을 보이며, 투자자들은 ETH가 주요 지지선을 방어할 수 있을지 주목하고 있다. 온체인 데이터에 따르면, 1..."
1일 전,1일 전,"투자자 40% ""이번주 비트코인 약세 전망""…44% ""美SEC 원탁회의, 긍정적...",국내 암호화폐 투자자 10명 중 4명이 이번 주(3월 17일~21일) 비트코인(BTC) 시장이 약세를 보일 것으로 전망했다. 코인니스와 크라토스가 공동 진행하고 있는 주간 국내 투자자 시장 동향 정기 설문조사에 따르면 응답자의 27.8%(전주 34.2%)가 이번 주 비트코인이 상승 혹은 급등할 것으로 전망했다....
1일 전,1일 전,암호화폐 변호사가 XRP 커뮤니티에 전하는 메시지 “비트코인 투자자들...,"암호화폐(가상자산·코인) 시장에서 비트코인(BTC)과 리플(XRP)을 둘러싼 경쟁 구도는 여전히 뜨겁다. 가상화폐 전문 변호사 제레미 호건(Jeremy... 우선 마이크로스트래티지(MicroStrategy)의 마이클 세일러(Michael Saylor)가 대규모 매입을 주도했다. 여기에 블랙록(BlackRock), 피델리티(Fidelity) 같은..."
1일 전,1일 전,"미국 유권자 다수, 정부 암호화폐 비축안 반대 연방 예산 증액 지지 단...","15일(현지시간) 더블록(The Block)에 따르면, 진보 성향 여론조사기관 데이터포프로그레스(Data For Progress)가 미국 유권자 1169명을 대상으로 실시한 조사 결과, 정부가 비트코인(BTC)과 이더리움(ETH) 등 암호화폐를 확보·보유하는 전략비축안에 대해 51%가 반대 입장을 나타냈다. 찬성은 34%, 모른다는 응답은 15..."
1일 전,1일 전,"비트코인, 25% 하락에도 여전히 매수 기회인가?","비트코인(BTC)이 1월 20일(현지시간) 사상 최고가 109,000달러를 기록한 후 약 25% 하락하며 현재 84,331달러 수준에서 거래되고 있다. 그러나 전문가들은 비트코인 ETF 유입 증가, 전략적 비트코인 비축, 글로벌 채택 확대 등을 이유로 여전히 강세장을 전망하고 있다. 투자 전문매체 더모틀리풀에 따르면, 최근..."
1일 전,1일 전,"韓, 비트코인 외환보유액 편입?...한은 ""절대 불가""","비트코인(BTC)을 한국의 외환보유액으로 편입해야 한다는 정치권의 주장에 대해 한국은행(이하 한은)이 공식적으로 반대 입장을 밝혔다. 국제통화기금(IMF) 기준에도 부합하지 않고, 가격 변동성이 크다는 이유에서다. 16일 국회 기획재정위원회 소속 차규근 조국혁신당 의원의 서면 질의에 대한 답변에서 한은은..."
1일 전,23시간 전,최고가 대비 25% 떨어진 암호화폐 비트코인이 여전히 매력적인 구체적 ...,"암호화폐(가상자산·코인) 비트코인(BTC)이 지난 1월 20일(미국 시각) 10만 9000달러라는 사상 최고가를 기록한 후 약 25% 하락하며 8만 4000달러 선에서 거래되고 있다. 일부 분석가들은 7만 달러까지 추가 하락할 수도 있다고 경고하는 가운데, 더모틀리풀은 비트코인을 매수해야 하는 이유를 설명했다...."
1일 전,1일 전,3월 마감 전 매도 고려해야 할 알트코인은?,"암호화폐 전문매체 코인게이프에 따르면, 최근 비트코인(BTC)이 10만 9,100달러의 역대 최고가(ATH)를 기록한 이후 8만 4,000달러 선에서 주춤하고... 같은 부진한 알트코인의 매도를 고려할 필요가 있다. 반면, 비트코인(BTC), XRP, 솔라나(SOL) 등 상대적으로 안정적인 코인은 장기 보유 전략이 유효할 수 있다."
1일 전,1일 전,비트코인 1만 달러 vs 19만 달러… 전문가 의견 엇갈려,"블룸버그 애널리스트 마이크 맥글론(Mike McGlone)이 비트코인(BTC)이 거품 단계에 접어들었으며, 최악의 경우 10,000달러까지 하락할 가능성이 있다고... 그는 비트코인 가격이 닷컴 버블과 유사한 패턴을 보이며, 거품이 터지면 BTC가 10,000달러까지 하락할 수 있다고 분석했다. 반면, 강세론자들은..."
1일 전,1일 전,"LG에너지솔루션, 캐즘에도 예년과 같은 규모 신입사원 채용 이유","LG에너지솔루션은 오는 6월 유럽에서 처음으로 BTC(Battery Tech Conference) 행사도 열 예정이다. BTC는 LG에너지솔루션이 미래 배터리 산업 혁신을 주도할 연구개발(R&D) 인재를 확보하기 위해 매년 국내외에서 여는 인재 채용 행사다. 올해는 4월 미국, 6월 독일, 9월 한국에서 각각 열릴 것으로 알려졌다...."
1일 전,1일 전,비트코인 ‘메가폰 패턴’ 분석… 상승·하락 돌파 전략은?,"15일(현지시간) 암호화폐 전문매체 코인텔레그래프에 따르면, 비트코인(BTC)의 가격 움직임에서 ‘메가폰 패턴(Megaphone Pattern)’이 관찰되고 있다. 이는 시장 변동성이 확대되는 시점을 의미하며, 상승 혹은 하락 돌파 가능성을 시사한다. 메가폰 패턴은 고점과 저점이 점차 확대되며 형성되는 확장형 삼각형..."
1일 전,1일 전,FOMC 회의 D-4! 금리 동결 확률 98%… 암호화폐 반등할까?,"금리 동결이 예상되면서 단기적으로는 시장이 중립적 흐름을 유지하겠지만, 향후 금리 인하 가능성이 높아질 경우 비트코인(BTC)과 이더리움(ETH)을 비롯한 암호화폐가 강세를 보일 가능성이 크다. 다만, 연준이 글로벌 시장에 미칠 영향을 평가하기 위해 결정을 지연할 가능성도 배제할 수 없다. 현재..."
1일 전,1일 전,"골드만삭스, 156년 역사상 최초로 비트코인 언급… 암호화폐 수용 가속...","15일(현지시간) 암호화폐 전문매체 더크립토베이직에 따르면, 글로벌 투자은행 골드만삭스(Goldman Sachs)가 창립 156년 만에 처음으로 연례 주주 서한에서 비트코인(BTC)과 암호화폐를 공식적으로 언급했다. 이는 암호화폐가 기존 금융 시장에서 점점 더 중요한 자산군으로 자리 잡고 있음을 보여주는..."
1일 전,1일 전,비트코인 시총 10조 달러 도달 시 도지코인 1달러 돌파 가능?,"15일(현지시간) 암호화폐 전문매체 더크립토베이직에 따르면, 도지코인(DOGE)은 비트코인(BTC)과 96%의 높은 상관관계를 보이며, 비트코인 시가총액이 10조 달러에 도달할 경우 1달러 이상으로 상승할 가능성이 크다고 분석됐다. 더크립토베이직은 현재 비트코인 시가총액이 1조 6,600억 달러이며, 10조..."
1일 전,1일 전,"비트코인 8만 4,000달러 유지… 솔라나·수이 강세 지속","비트코인(BTC)이 8만 4,000달러 선에서 안정세를 보이는 가운데, 솔라나(SOL)와 수이(SUI)가 나란히 6% 이상 상승하며 상승 모멘텀을 이어가고 있다. 비트코인은 지난 금요일 8만 5,000달러 저항을 돌파하지 못하고 이후 1,000달러 가량 하락했다. 이번 주 초 8만 6,000달러를 유지하지 못하고 8만 달러까지..."
1일 전,1일 전,"이더리움(ETH), 1,250달러까지 하락할까… 고래들은 매수 중","2021년 한때 5,000달러를 바라보며 ‘플리페닝(비트코인(BTC) 시총 추월)’ 논의까지 나왔던 ETH는 이후 수차례 변동을 거쳤다. 2022년 약세장에서 1,000달러 이하로 떨어졌다가 반등에 성공했지만, 지난해 4,000달러 저항선을 넘지 못한 채 지속적인 조정을 겪고 있다. 특히 올해 중순 이후 급락이 가속되며..."
1일 전,1일 전,"[저녁 뉴스브리핑] ZENMEV, $1.4억 규모 전략적 투자 유치 外","21셰어스, BTC·ETH 선물 ETF 청산 결정 유럽 암호화폐 ETF 제공업체 21셰어스가 BTC, ETH 선물 ETF(티커 ARKC, ARKY)를 청산한다고 밝혔다. 이에 따라 3월 27일(현지시간) 해당 ETF 거래가 중단된다. 21셰어스는 ""시장 동향과 고객 수요, 디지털 자산 환경 변화 등에 따라 상품 라인업을 조정하기 위해 이 같은..."
1일 전,1일 전,암호화폐 게임 시장 침체 속 개발 활발…멀티버스엑스·디센트럴랜드 급...,"이는 비트코인(BTC)을 포함한 주요 암호화폐 전반의 조정세와 맞물린 결과로 풀이된다. 그러나 이러한 하락세에도 불구하고 일부 게임 프로젝트들은 활발한 개발 활동을 이어가며 시장의 주목을 받고 있다. 암호화폐 데이터 분석 플랫폼 샌티먼트(Santiment)에 따르면, 최근 한 달간 가장 높은 개발..."
1일 전,1일 전,알트코인 강세장 217일 지속 가능? 이더리움·도지코인 상승 신호,"15일(현지시간) 암호화폐 전문매체 뉴스BTC에 따르면, 트레이딩뷰 애널리스트 스포리아(Sporia)는 이더리움(ETH)과 도지코인(DOGE)을 포함한 알트코인 시장이 최대 217일간 상승할 가능성이 있다고 분석했다. 그는 특정 지지선이 유지된다면 본격적인 알트코인 시즌이 시작될 수 있다고 전망했다. 뉴스는..."
1일 전,1일 전,"美 SEC, XRP·SOL·ADA 역할에 '침묵'… 리플 변호사 ""공식 입장 아냐""","투자자들이 신뢰할 수 있는 정보를 바탕으로 판단해야 한다고 경고했다. 이번 논란은 최근 존 디튼이 비트코인(BTC)과 XRP의 경쟁 구도 속에서 BTC의 가치를 강조하는 발언을 한 이후 발생했다. SEC의 입장에 대한 불확실성이 지속되는 가운데, 암호화폐 커뮤니티는 명확한 공식 발표를 요구하고 있다."
1일 전,1일 전,"출렁이는 가상자산, 어디로 가나?","비트코인(BTC)을 비롯한 가상자산 시세가 미국 트럼프 행정부의 관세 정책과 거시경제 불확실성으로 인해 하락세를 면치 못하고 있다. 트럼프... 업비트와 빗썸 등 국내 주요 거래소 데이터를 보면, 비트코인(BTC)은 현재가 1억2354만원으로 전일 대비 33만8000원 하락하며 -0.27%의 등락률을..."
1일 전,1일 전,"비트코인, 9만 달러 향해 반등… 고래 매수세에 탄력","비트코인(BTC)의 가격이 최근 급락 후 반등하며 9만 달러 도달 가능성이 제기되고 있다. 분석가들은 현재 8만 4,000달러의 지지선이 유지될 경우 추가... 하지만 최근 이들은 다시 대량 매수를 개시했으며, 온체인 데이터 제공업체 산티먼트(Santiment)에 따르면 단 48시간 만에 2만 이상이 이들 투자자의..."
1일 전,1일 전,"XRP, 15달러 가능할까? 애널리스트 530% 상승 전망","이는 이더리움(ETH)의 시가총액을 뛰어넘는 수준이며, 비트코인(BTC)과도 근접한 규모다. 이런 전망이 현실화되기 어려운 것은 사실이지만, XRP는 과거에도 단기간 급등한 전례가 있다. 2024년 미국 대선 이후 XRP는 0.6달러에서 3.4달러까지 470% 뛰어오른 바 있다. 또한, 미국 증권거래위원회(SEC)와의..."
1일 전,1일 전,"도지코인, 0.16달러 지지선 유지하면 패러볼릭 랠리 가능?","15일(현지시간) 암호화폐 전문매체 뉴스BTC에 따르면, 암호화폐 애널리스트 알리 마르티네즈(Ali Martinez)는 도지코인(DOGE)이 장기 상승 채널의 하단 지지선을 테스트하고 있으며, 0.16달러 수준을 방어하면 강한 상승이 가능할 것이라고 분석했다. 뉴스는 도지코인이 지난 10년간 ‘상승 채널(Ascending..."
1일 전,1일 전,"[비트코인 르포] 도지코인·리플, 강세 전망 속 반등 가능성…""장기 목...","SEC가 XRP를 비트코인(BTC) 및 이더리움(ETH)과 유사한 자산으로 인정할 경우, 규제 장벽이 완화되면서 대규모 기관 투자 자금이 유입될 수 있다. SEC와 리플랩스(Ripple Labs) 간의 법적 공방이 계속되는 가운데, SEC 관계자들이 XRP의 규제 지위를 논의 중이라는 소식이 전해지며 기대감이 커지고 있다...."
1일 전,1일 전,"아발란체(AVAX) 가격 추종 ETF로 등록, 암호화폐 ETF 확대 흐름에 동참","지난해 SEC는 비트코인(BTC) 현물 ETF를 1월에, 이더리움(ETH) 현물 ETF를 7월에 승인하면서 관련 시장의 문을 열었고, 최근에는 암호화폐 산업에 대한 규제 접근도 완화되고 있다. 최근 몇 주 사이 SEC는 논란이 많았던 암호화폐 회계 지침을 철회하고, 주요 암호화폐 기업에 대한 집행 조치를..."
1일 전,1일 전,"ERC-20 토큰 시총, 이더리움 추월...팻 프로토콜 가설은 틀렸나?","그러나 최근 이더리움이 보이는 부진한 성과는 이 가설이 과대평가되었을 가능성을 시사한다고 디파이언트는 전했다. ETH는 비트코인 대비 지속적인 약세를 보이고 있다. ETH/BTC 환율은 2020년 이후 최저 수준인 0.023까지 하락했으며, 2017년 최고치 0.15에서 85% 감소했다."
1일 전,19시간 전,"카르다노(ADA), 지금 투자하면 큰 실수? 美 정부 발표 후 반등 실패","더모틀리풀은 미 행정부가 비트코인(BTC) 전략 비축과 함께 디지털 자산 비축 정책을 발표하며, 카르다노가 포함된 점이 시장의 기대를 불러일으켰다고 분석했다. 그러나 정부는 공식적으로 압류된 암호화폐를 보유할 뿐, 시장에서 직접 매입하지 않을 것이라고 밝혔다. 이에 따라 장기적인 매수세를..."
1일 전,1일 전,"비트코인, 81,000달러 유지해야 하락 방어… FOMC 회의 앞두고 변동성 확...","15일(현지시간) 암호화폐 전문매체 코인텔레그래프에 따르면, 비트코인(BTC)이 주간 마감에서 81,000달러 이상을 유지해야 추가 하락을 피할 수 있을 것으로 분석됐다. 반면, 76,000달러 아래로 떨어질 경우 단기 매도 압력이 더욱 커질 가능성이 있다. 비트겟 리서치(Bitget Research)의 수석 애널리스트..."
1일 전,1일 전,"이더리움, 비트코인보다 크게 뒤처지나? 반등 가능성은?","뉴스BTC에 따르면, 비트코인은 최근 3.8% 상승하며 85,000달러를 회복했지만, 이더리움은 여전히 2,000달러를 넘지 못하고 1,900달러 초반에서 거래되고 있다. 전문가들은 이더리움의 파생상품 시장 내 약세 흐름이 지속되면서 비트코인 대비 시장 점유율이 줄어들고 있다고 분석했다. 뉴스는 크립토퀀트..."
1일 전,1일 전,"비트코인, 9만 달러 회복할까? 파생상품 데이터는 낙관적","비트코인(BTC)이 85,000달러 선을 유지하지 못했지만, 파생상품 시장은 여전히 긍정적인 신호를 보내고 있다. 전문가들은 최근 9억 2,000만 달러 규모의 롱 포지션 청산에도 불구하고 BTC가 다시 90,000달러를 향할 가능성이 높다고 분석했다. 16일(현지시간) 암호화폐 전문매체 코인텔레그래프에 따르면..."
1일 전,1일 전,"獨 거래소, 디지털 자산 시장 본격 진출...Clearstream, 안전한 암호화폐...",사진=로이터 연합뉴스 독일 증권 거래소 그룹 Deutsche Boerse의 자회사 Clearstream이 기관 투자자를 위한 비트코인(BTC) 및 이더리움(ETH) 수탁 서비스를 출시하며 디지털 자산 시장에 본격적으로 진출했다. 15일(현지시간) 코인마켓켑에 따르면 이번 서비스 출시는 기관 투자자들의 암호화폐 투자 접근성을...
