기준시간,원본시간,제목,미리보기
1일 전,1일 전,북한과 같은 ‘민감국가’ 리스트 포함…과학기술 협력 문제 없을까,"에너지부 산하에는 정보방첩국(OICI)가 있는데 에너지 정책, 특히 핵무기 생산과 운영에 관한 정보를 담당하며 또 다른 산하 기관인 국가 핵안보국(NNSA)과 함께 매년 SCL을 지정해, 감시 및 관리를 한다.민감국가 목록에는 러시아, 중국, 리비아, 수단, 북한, 수단, 시리아, 쿠바, 이라크, 등은 물론..."
1일 전,1일 전,휘발유 가격 5주 연속 내렸는데…제주 '전국 최고가',"한편 이번 주 국제유가는 미국 관세 정책에 따른 세계 경기 둔화 우려 지속, 국제에너지기구(IEA)의 석유 수요 전망 하향, 러시아-우크라이나전 휴전 논의 진전 등으로 하락했다. 수입 원유 가격 기준인 두바이유는 직전 주보다 0.1달러 내린 71.2달러였다. 국제 휘발유 가격은 0.9달러 내린 77.7달러, 국제..."
1일 전,1일 전,"트럼프 대통령-김정은 위원장, 한국 패싱 개연성 없나?","우크라이나를 파괴로 이끌고, 자국민들을 죽음으로 내몰게 되리라는 우려였다. 종래엔 영토도 더 많이 잃게 될... 미국과 유럽의 전쟁지원금에 대한 우크라이나의 '비리 의혹'을 제기한 셈이다. 이는 미국의 뜻에 순순히 따르던지 또는..."
1일 전,1일 전,"젤렌스키 ""우리군, 포위되지 않았다…쿠르스크서 북러 저지 중""",젤렌스키 우크라이나 대통령이 자국군은 러시아 쿠르스크주에서 여전히 작전 중이라며 러시아군에 포위되지 않았다고 15일(현지시간) 밝혔다. 전날 도널드 트럼프 미국 대통령과 블라디미르 푸틴 러시아 대통령이 쿠르스크에서 우크라이나군이 러시아군에 포위됐음을 시사했지만 이를 부인한 것이다....
1일 전,1일 전,주유소 기름값 5주 연속 하락... 9주 만에 1600원대 진입,"이번 주 국제유가는 미국 관세 정책에 따른 세계 경기 둔화 우려 지속, 국제에너지기구(IEA)의 석유 수요 전망 하향, 러시아-우크라이나전 휴전 논의 진전 등으로 하락했다. 수입 원유 가격 기준인 두바이유는 직전 주보다 0.1달러 내린 71.2달러였다. 국제 휘발유 가격은 0.9달러 내린 77.7달러, 국제..."
1일 전,1일 전,트럼프 “우크라군 살려달라” VS 푸틴 “항복하면”…‘두 스트롱맨’...,수장이 우크라이나 전쟁 ‘30일 휴전안’을 두고 치열한 기싸움을 벌이고 있다. 대체적으로 도널드 트럼프 미 대통령이 휴전안을 압박하고 블라디미르 푸틴 대통령은 버티는 모양새다. 14일(현지 시간) 트럼프 대통령과 푸틴 대통령은 러시아의 격전지 쿠르스크주에서 전투 중인 군의 목숨을...
1일 전,23시간 전,"미·러 외교수장 ""우크라 종전 협상 다음 단계 논의""",마코 루비오 미국 국무부 장관과 세르게이 라브로프 러시아 외무부 장관이 현지시간 15일 통화하고 우크라이나 종전 협상 문제를 논의했다고 미 국무부가... 앞서 미국과 러시아는 지난달 18일 사우디 수도 리야드에서 우크라이나 종전 방안을 두고 루비오 장관과 라브로프 장관이 협상단을 이끌었다. 이후...
1일 전,23시간 전,"""평양의 봄은 온다"" 비영리기구 씽크, 체코서 북한 인권증진 세미나",비무장지대(DMZ)를 걸어서 귀순한 탈북 청년이 우크라이나 전쟁에서 붙잡힌 북한군 2명의 귀순 필요성을 알리는 캠페인도 진행할 예정이다. 사단법인... 이날 캠페인에는 우크라이나 전쟁에서 붙잡힌 북한군 2명의 한국 귀순 필요성 등도 공유될 예정이다. 전쟁 난민은 폴란드 다음으론 체코가 가장...
1일 전,23시간 전,"젤렌스키 ""우리군, 쿠르스크서 북·러 저지 중…포위되지 않아""","볼로디미르 젤렌스키 우크라이나 대통령이 자국군은 러시아 쿠르스크주에서 여전히 작전 중이라며 러시아군에 포위되지 않았다고 현지시간으로 어제(15일) 밝혔습니다. 전날 도널드 트럼프 미국 대통령과 블라디미르 푸틴 러시아 대통령이 쿠르스크에서 군이 러시아군에 포위됐음을 시사했지만, 이를..."
1일 전,23시간 전,"젤렌스키 ""우리군, 쿠르스크서 북러 저지 중""","볼로디미르 젤렌스키 우크라이나 대통령이 15일(현지시간) 자국군은 러시아 쿠르스크주에서 여전히 작전 중이고, 러시아군에 포위되지 않았다고 밝혔다. 전날 도널드 트럼프 미국 대통령과 블라디미르 푸틴 러시아 대통령이 쿠르스크에서 군이 러시아군에 포위됐음을 시사한 것을 부인한 것이다. 이날..."
1일 전,23시간 전,"젤렌스키 ""우리군, 포위당하지 않아…쿠르스크서 북러 저지 중""","볼로디미르 젤렌스키 우크라이나 대통령이 자국군은 러시아 쿠르스크주에서 여전히 작전 중이며 러시아군에 포위되지 않았다고 밝혔습니다. 우크라이나 국영 뉴스통신 우크린폼 등에 따르면 젤렌스키 대통령은 현지시간 15일 페이스북에 올린 글에서 ""쿠르스크의 지정 지역에서 우리 군의 작전은 계속되고 있다..."
1일 전,23시간 전,“연약하고 쉽게 울면서 워라밸 얘기까지”…입대 기피에 ‘골치’,"러시아 위협에 158조 국방비 늘린 독일 군인은 오히려 감소…입대 기피 풍조 ""독일 군인은 연약하고 쉽게 운다."" 러시아의 안보위협과 우크라이나 전쟁... 러시아의 우크라이나 침공으로 안보 위협이 현실화한 이후 유럽 각국이 군비 확충에 나서면서, 실제 전쟁에 투입될 가능성이 높아졌다. 군 사기의..."
1일 전,23시간 전,[아침광장] 2025년 중국 양회와 시진핑의 선전포고,"미국과 중국이 공방전으로 틈새시장이 생길 수도 있고, 코로나19 팬데믹과 우크라이나 전쟁을 거치면서 명실상부 자본대국으로 부상한 중국이 시장규칙을 무시하고 전횡을 저지르는 자본제국으로 변할 수도 있다. 위험할 수도 있고 기회가 될 수도 있는 상황, 중국 정부가 지원하는 국유기업, 사영기업들의..."
1일 전,1일 전,러 “쿠르스크 2개 마을 추가 탈환”…휴전안은 표류,"G7 외교장관회의 “ 휴전안 환영, 러 수용을” 미러 외교장관 통화했지만 구체적 진전소식 없어 러시아가 미국·우크라이나의 ‘30일간 휴전안’에... 쿠르스크는 작년 8월 우크라이나군이 기습적으로 쳐들어간 지역이다. 우크라이나군은 한때 쿠르스크에서 1300㎢를 점령했지만 반격에 나선 러시아군에 밀려..."
1일 전,1일 전,비상계엄이냐 '핵 무장론'이냐…불투명한 美 민감국가 분류 이유,"러시아와 전쟁 중인 우크라이나, 하마스와 분쟁 중인 이스라엘, 중국과 대립하는 대만 등 미국의 우방들이 한국과 마찬가지로 민감국가 명단에 포함된 것도 '핵 무장론'이 아닌 비상계엄이 민감국가 분류의 핵심 사유일 것이라는 주장의 근거로 제시된다. 조태열 외교부 장관이 지난 11일 국회에서 ""일회성..."
1일 전,1일 전,다가오는 러우전쟁의 충격적인 결말...한국에 주는 교훈은 [밀리터리 월...,"미국과 북대서양 조약 기구(NATO)는 지난 조 바이든 미국 행정부에서 사활을 걸고 2022년 2월 러시아가 일으킨 우크라이 전쟁에서 줄곧 우크라이나를 지원해 왔다. 그 이유는 무엇이었을까. 원래 나토 유럽은 슬라브 계통의 우크라이나에 그다지 우호적이지 않았지만, 전쟁이 발발하자 무제한적인 지원을 했던..."
1일 전,1일 전,J-15 추정 中전투기 훈련 중 추락…“인명 피해는 없어”,J-15는 러시아와 우크라이나의 기술을 도입해 개발한 항공모함용 함재기로 4세대 전투기로 분류된다. 2009년 시험비행에 성공했으며 2012년 항공모함에서 이착륙하는 모습이 처음 공개됐다. 전자기식 사출기를 갖춘 항공모함에 탑재하기 위해 개량한 J-15T도 실전 배치를 앞두고 있다. 해군은 성명에서...
1일 전,1일 전,"""EU, '수교 50년' 기념 시진핑 브뤼셀 방문 제안…中은 거부""","EU는 2022년 우크라이나 전쟁이 발발한 뒤 중국을 러시아 지원 배후로 지목했고, 이후 유럽 시장 점유율을 높인 중국산 전기차에 반(反)보조금 관세를 부과하는 등 한동안 중국과 불편한 관계를 이어갔다. 그러나 트럼프 대통령이 취임하면서 상황은 다소 달라졌다. 양측 모두 트럼프 대통령의 '미국 우선주의..."
1일 전,1일 전,"미·러 외교수장 통화…""우크라 종전 협상 후속 논의""","[사진=AFP·연합뉴스] 미국 국무부는 15일(현지시각) 마코 루비오 미 국무부 장관과 세르게이 라브로프 러시아 외무부 장관이 통화하고 우크라이나 전쟁... 앞서 미국과 러시아는 지난달 18일 사우디 수도 리야드에서 우크라이나 종전 방안을 두고 협상을 벌였고, 루비오 장관과 라브로프 장관이 협상단을..."
1일 전,1일 전,"[영상] 독일 청년들 입대 기피에 국방강화 뒷걸음 ""죽느니 점령당할래""","독일은 2022년 러시아의 우크라이나 침공 이후 약 1천억 유로(약 158조원)를 투입, 군비 증강에 나섰지만 전체 병력은 오히려 뒷걸음질을 치고 있습니다. 18만1천여명인 현역병 수를 2031년까지 20만 3천명으로 늘리겠다는 것이 목표였지만 오히려 지난해의 경우 병력이 소폭 줄어든 것입니다. 2023년 입대한..."
1일 전,1일 전,"[영상] 독일 청년들 입대 기피에 국방강화 뒷걸음 ""죽느니 점령당할래""","독일은 2022년 러시아의 우크라이나 침공 이후 약 1천억 유로(약 158조원)를 투입, 군비 증강에 나섰지만 전체 병력은 오히려 뒷걸음질을 치고 있습니다. 18만1천여명인 현역병 수를 2031년까지 20만 3천명으로 늘리겠다는 것이 목표였지만 오히려 지난해의 경우 병력이 소폭 줄어든 것입니다. 2023년 입대한..."
1일 전,1일 전,젤렌스키 “우리는 포위되지 않았다…쿠르스크서 북·러 저지 중”,[EPA] 볼로디미르 젤렌스키 우크라이나 대통령은 15일(현지시간) 자국군은 러시아 쿠르스크주에서 여전히 작전 중이라며 러시아군에 포위되지 않았다고 밝혔다. 전날 도널드 트럼프 미국 대통령과 블라디미르 푸틴 러시아 대통령이 쿠르스크에서 군이 러시아군에 포위됐음을 시사한 것을 부인한...
1일 전,1일 전,"휘발유·경유 가격, 5주연속 하락…국제유가도 하락세",이런 가운데 국제유가는 ▲미국 관세 정책에 따른 세계 경기 둔화 우려 ▲국제 에너지 기구(IEA)의 석유 수요 전망 하향 ▲러시아-우크라이나 전쟁 휴전 논의 협상 등의 영향으로 3주연속 하락했다. 국제 휘발유 평균 가격은 배럴당 77.7달러로 0.9달러 내렸다. 국제 자동차용 경유 가격은 배럴당 85....
1일 전,1일 전,"""테슬라, 너 해고"" 머스크와 설전 벌인 美 상원의원, 車 폐기까지?",트럼프가 우크라이나 전쟁 종전 협상을 압박하기 위해 우크라이나에 대한 군사 원조를 중단하자 미 상원 국방위원회 소속인 켈리 의원은 이달 초 우크라이나를 방문해 우크라이나 국민에 대한 지지를 표명하고 미국의 군사 지원 필요성을 강조했다. 그러자 머스크는 지난 10일 자신의 X에 켈리 의원을 향해...
1일 전,1일 전,"트럼프 특사의 ‘굴욕’…푸틴 만나는 데 8시간 대기, 의도적?",점심 때 모스크바 도착해 심야에야 푸틴 만나 러시아-우크라이나 전쟁 휴전 제안을 들고 러시아 모스크바를 방문한 도널드 트럼프 미국 대통령의 특사가 8시간 넘게 기다린 끝에 한밤중에야 블라디미르 푸틴 러시아 대통령을 만난 것으로 전해졌다. 러시아 측은 공식 일정을 이유로 들었다. 그러나 푸틴...
1일 전,23시간 전,"젤렌스키 ""우크라이나군, 쿠르스크서 북러 저지 중""",우크라이나 대통령이 자국군은 러시아 쿠르스크주에서 여전히 작전 중이라며 러시아군에 포위되지 않았다고 반박했습니다. 젤렌스키 대통령은 현지시간 15일 올렉산드르 시르스키 군 총사령관으로부터 전황을 보고받고 이 같은 내용의 글을 SNS에 올렸습니다. 젤렌스키 대통령은 쿠르스크에서 군이...
1일 전,1일 전,"미러 외무장관 통화 ""사우디 회담 후속·양국 소통 회복 논의""","다만 미국과 우크라이나가 합의한 30일 임시휴전안에 관한 언급은 없었다. 블라디미르 푸틴 러시아 대통령은 휴전안에 원칙적으로 동의한다면서도 추가 논의가 필요하다며 시간을 끌고있다. 이번 통화에서 루비오 장관은 이란이 지원하는 후티 반군에 대한 미군의 공습에 대해서도 통보했다. 국무부는 ""루비오..."
1일 전,1일 전,"'의지의 연합' 우크라 평화군 진전…""美 '안전장치' 확보 관건""",류정민 특파원 = 미국이 러시아와 '30일 임시휴전안' 수용을 놓고 힘겨루기를 이어가는 가운데 유럽에서는 우크라이나 평화유지군 파병 논의에 속도를 내면서 러시아에 대한 압박 강도를 높이고 있다. 키어 스타머 영국 총리는 15일(현지시간) 30개국 정상들과의 화상 회의 후 조만간 예상되는 휴전...
1일 전,1일 전,"""죽느니 점령이 낫다""…국방 강화 뒷걸음","15일(현지시간) 영국 일간 파이낸셜타임스(FT)에 따르면, 독일은 2022년 러시아의 우크라이나 침공 이후 약 1천억 유로(약 158조원)를 투입, 군비 증강에... 러시아의 우크라이나 침공으로 안보 위협이 현실화한 이후 유럽 각국이 군비 확충에 나서면서, 실제 전쟁에 투입될 가능성이 높아졌다. 안 그래도 힘든..."
1일 전,1일 전,"與 ""민주, '美 민감국가 지정' 정치적 이용 말라""","그는 ""또한, 핵무장론은 단순히 민감국가 지정에만 한정해 논할 수 있는 아젠다가 아니다""며 ""1994년 핵무장을 해제하고 나서 지금 우크라이나가 어떻게 되었는지, 미국의 트럼프 대통령으로부터 어떤 대접을 받고 있는지 전 세계가 두 눈으로 똑똑히 보고 있지 않냐""고도 말했다. 이어 ""국민의힘은 이 상황에 대해..."
1일 전,1일 전,"트럼프, 北실상 알려온 VOA·RFA 관할기구 대대적 조직 축소 명령",북한·중국·러시아·이란·아프가니스탄·파키스탄·우크라이나 등 자유 언론이 위협받는 국가에 뉴스를 제공해 민주주의 가치를 강조하기 위해 설립됐다. 특히 VOA는 트럼프 대통령이 자신의 집권 1기 때 보도 내용에 자주 불만을 표명해온 매체다. 뉴욕타임스(NYT)는 VOA 직원들이 이번 삭감이 너무...
1일 전,1일 전,전략핵잠수함 과시한 북한,한국과 미국은 러시아가 우크라이나전쟁에 군대를 파견한 대가로 북한에 관련 기술을 넘겨줄 가능성을 주의 깊게 보고 있어요. 트럼프 대통령이 우크라이나전쟁 종전 협상을 끝내면 북한과 핵 거래로 고개를 돌릴 수도 있죠. 북한과 미국 사이에 러시아가 끼어들면 비핵화는 더 멀어지고 우리 안보도 더욱...
1일 전,1일 전,"EU, 독자 군사위성망 구축 추진…""미 역량 대체""","앞서 도널드 트럼프 미국 대통령과 볼로디미르 젤렌스키 우크라이나 대통령의 정상회담 파행 후 미국이 우크라이나에 대한 정보 공유를 중단한 사례에 비춰 FT는 새로운 위성시스템이 ""미국의 역량을 부분적으로 대체하는 것이 목표""라고 분석했다. 쿠빌리우스 위원은 ""우리는 높은 기술력과 데이터 가용성을..."
1일 전,1일 전,"독일 청년들 ""죽느니 점령당할래""…입대 기피에 국방강화 뒷걸음","독일은 2022년 러시아의 우크라이나 침공 이후 약 1천억 유로(약 158조원)를 투입, 군비 증강에 나섰지만 전체 병력수는 오히려 뒷걸음질을 치고 있다.... 러시아의 우크라이나 침공으로 안보 위협이 현실화한 이후 유럽 각국이 군비 확충에 나서면서, 실제 전쟁에 투입될 가능성이 높아졌다. 안 그래도 힘든..."
1일 전,1일 전,"[포토] 젤렌스키 ""영토 문제는 나중에 자세히 논의해야""","볼로디미르 젤렌스키 우크라이나 대통령이 15일(현지시간) 키이우에서 기자회견을 갖고 “나는 러시아 점령지를 결코 러시아 영토라고 인정하지 않을 것이지만 이 문제는 나중에 자세히 논의해야 할 것""이라고 말하고 있다. 2025.03.16"
1일 전,1일 전,"[포토] 젤렌스키 ""러, 전세 우위 강화 노리고 휴전 지연""","볼로디미르 젤렌스키 우크라이나 대통령이 15일(현지시간) 키이우에서 기자회견을 갖고 “러시아가 휴전에 동의하기 전에 군사적 위치를 더 강화하길 바라고 있으며 그것이 휴전이 지연되는 이유""라고 말하고 있다. 2025.03.16"
1일 전,1일 전,"[포토] 젤렌스키 “美-러 모스크바 대화 내용 정확히 몰라""","볼로디미르 젤렌스키 우크라이나 대통령이 15일(현지시간) 키이우에서 기자회견을 갖고 “모스크바에서 미국과 러시아 사이에 어떤 대화가 오갔는지 난 정확히 알지 못한다""고 말하고 있다. 2025.03.16"
1일 전,1일 전,[포토] 젤렌스키 “서방국이 압박하면 러 태도 바꿀수 있어”,"볼로디미르 젤렌스키 우크라이나 대통령이 15일(현지시간) 키이우에서 기자회견을 갖고 “서방국이 우크라이나 안보 보장을 약속한 가운데 러시아를 압박하면 러시아의 태도를 바꿀 수 있다""고 말하고 있다. 2025.03.16"
1일 전,1일 전,"북 외무상, 러 외무차관 접견…‘포로’ 논의 가능성","러시아-우크라이나 전쟁의 휴전 논의가 본격화되는 가운데, 최선희 북한 외무상이 평양을 방문한 러시아 외무차관을 만났습니다. 북한 조선중앙통신은 최 외무상이 어제(15일) 안드레이 루덴코 차관을 단장으로 하는 러시아 외무성 대표단을 만났다고 오늘(16일) 보도했습니다. 루덴코 차관은 최근 미국의 휴전..."
1일 전,1일 전,"김정은, 새 살림집 올린 화성지구 방문…북러, 외교 접촉[데일리 북한]",북한과 러시아는 우크라이나 전쟁 종전 문제와 파병 북한군 포로 및 사상자 처우 문제를 논의했을 것으로 보인다. 4면에는 대성구역에서 당의 재자원화(자원 재활용) 방침에 따라 원가 절약형 건재 생산 공정을 확립해 석탄 버력(폐석)을 원료로 하는 벽돌과 블록을 생산하게 됐다는 소식이 실렸다. 또...
1일 전,1일 전,"러, 휴전안 표류 속 공세…""2개 마을 탈환""","러시아가 미국·우크라이나의 30일 휴전안에 모호한 태도를 유지한 채 주요 격전지에서 공세를 강화하고 있습니다. AFP 통신에 따르면, 러시아 국방부는 현지시간 15일 자국군이 러시아 서부 쿠르스크 북쪽과 서쪽의 마을 2곳을 추가 탈환했다고 밝혔습니다. 쿠르스크는 지난해 8월 군이..."
1일 전,1일 전,"""테슬라, 넌 해고됐어!""…비속어 쓰며 머스크 때린 美상원의원","앞서 머스크는 지난 10일 엑스에 올린 글에서 켈리 의원이 우크라이나를 방문한 것을 두고 ""반역자""라고 비난했다. 도널드 트럼프 미국 행정부가 평화협정을 끌어내기 위해 우크라이나에 대한 원조를 중단한 직후 켈리 의원이 우크라이나를 방문했다는 이유에서다. 이에 켈리는 머스크에게 ""정부 일을 그만두고..."
1일 전,1일 전,미·러 외교수장 통화…“우크라 협상 다음 단계 논의”,미국 국무부는 15일(현지시각) 마코 루비오 미 국무부 장관과 세르게이 라브로프 러시아 외무부 장관이 통화하고 우크라이나 전쟁 종전 협상 문제를... 앞서 미국과 러시아는 지난달 18일 사우디 수도 리야드에서 우크라이나 종전 방안을 두고 협상을 벌였다. 당시에도 루비오 장관과 라브로프 장관이 협상단을...
1일 전,1일 전,"北 최선희, 러 외교차관 평양서 만나…북한군 파병 관련 문제 논의했을...",러시아는 현재 미국과 우크라이나 전쟁 휴전 협상을 진행하고 있다. 조선중앙통신은 16일 최선희 북한 외무상과 안드레이 루덴코 차관이 전날 평양에서... 이와 함께 양측은 최근 미국이 제안한 우크라이나 전쟁 휴전안에 대해서도 의견을 교환했을 것으로 보인다. 러시아는 휴전 및 종전에 대한 입장을 북한에...
1일 전,1일 전,"北 최선희, 러 외교차관 평양서 만나…북한군 파병 관련 문제 논의했을...",러시아는 현재 미국과 우크라이나 전쟁 휴전 협상을 진행하고 있다. 조선중앙통신은 16일 최선희 북한 외무상과 안드레이 루덴코 차관이 전날 평양에서... 이와 함께 양측은 최근 미국이 제안한 우크라이나 전쟁 휴전안에 대해서도 의견을 교환했을 것으로 보인다. 러시아는 휴전 및 종전에 대한 입장을 북한에...
1일 전,1일 전,한 주간의 이슈 검색어 Top10 [시선뉴스 키워드],美-우크라 '30일 휴전' 추진 미국과 우크라이나가 11일(현지시간) 러시아의 침공 이후 3년여 계속 되고 있는 우크라이나 전쟁의 '30일 휴전'을 추진하기로 합의했다. 러시아가 휴전안을 수용한다면 우크라이나와 러시아는 종전 협상의 절차에 들어가게 될 전망이다. (https://sisunnews.co....
1일 전,1일 전,카드로 보는 시사상식 [2025년 03월 셋째주_시선뉴스],돈바스 '돈바스'는 우크라이나 동부의 루간스크주와 도네츠크주 일대를 가리키는 지명이다. 지명 돈바스의 유래는 해당 지역을 흐르는 세베르스키도네츠 강으로 지명 일대인 도네츠 분지가 축약된 혼성어다. (https://sisunnews.co.kr/news/articleView.html?idxno=158948) 7. 메틸브로마이드...
1일 전,1일 전,"與 ""美 민감국가 발효 전 총력대응 해야…민주당 정쟁 안돼""","1994년 핵무장을 해제하고 나서 지금 우크라이나가 어떻게 되었는지, 미국의 트럼프 대통령으로부터 어떤 대접을 받고 있는지 전 세계가 두 눈으로 똑똑히 보고 있지 않았나""라고 했다. 윤상현 국민의힘 의원도 이날 오전 기자회견 후 기자들과 만나 민감국가 관련한 질문에 ""민주당의 탄핵 추구 세력들을 못..."
